"source","target"
"Coronavirus disease (COVID-19) outbreak: rights",""
"Interim guidance",""
"19 March 2020",""
"Background",""
"Health workers are at the front line of the COVID-19 outbreak response and as such are exposed to hazards that put them at risk of infection. Hazards include pathogen exposure",""
"Health work rights",""
"Health worker rights include the expectation that employers and managers in health facilities:",""
"- assume overall responsibility to ensure that all necessary preventive and protective measures are taken to minimize occupational safety and health risks; (Including implementation of occupational safety and health management systems to identify hazards and assess risks to health and safety; IPC measures; and zero-tolerance policies towards workplace violence and harassment.)",""
"- provide information",""
"- refresher training on infection prevention and control (IPC);",""
"- use",""
"- provide adequate IPC and PPE supplies (masks",""
"- familiarize personnel with technical updates on COVID-19 and provide appropriate tools to assess",""
"- provide appropriate security measures as needed for personal safety;",""
"- provide a blame-free environment in which health workers can report on incidents",""
"- advise health workers on self-assessment",""
"- maintain appropriate working hours with breaks;",""
"- consult with health workers on occupational safety and health aspects of their work",""
"- allow health workers to exercise the right to remove themselves from a work situation that they have reasonable justification to believe presents an imminent and serious danger to their life or health",""
"- not require health workers to return to a work situation where there has been a serious danger to life or health until any necessary remedial action has been taken;",""
"- honour the right to compensation",""
"- provide access to mental health and counselling resources; and",""
"- enable cooperation between management and health workers and their representatives.",""
"Health workers should:",""
"- follow established occupational safety and health procedures",""
"- use provided protocols to assess",""
"- treat patients with respect",""
"- maintain patient confidentiality;",""
"- swiftly follow established public health reporting procedures of suspected and confirmed cases;",""
"- provide or reinforce accurate IPC and public health information",""
"- put on",""
"- self-monitor for signs of illness and self-isolate and report illness to managers",""
"- advise management if they are experiencing signs of undue stress or mental health challenges that require supportive interventions; and ",""
"- report to their immediate supervisor any situation which they have reasonable justification to believe",""
"presents an imminent and serious danger to life or health.",""
"Additional resources",""
"- Emerging respiratory viruses",""
"- WHO COVID-19 technical guidance",""
"WHO continues to monitor the situation closely for any changes that may affect this interim guidance. Should any factors change",""
"© World Health Organization 2020. Some rights reserved. This work is available under the CC BY-NC-SA 3.0 IGO licence.",""
